1650841366.779849 client started (72646): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1650841366.779903 on Darwin 19.6.0 Darwin Kernel Version 19.6.0: Tue Oct 12 18:34:05 PDT 2021; root:xnu-6153.141.43~1/RELEASE_X86_64
1650841366.779925 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.2
1650841366.782570 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.782577 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.782613 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.782635 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.782644 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.782652 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782659 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782667 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782690 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782696 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782701 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.782706 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.782711 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782716 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782721 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782726 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782731 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782736 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.782741 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782746 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782751 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782755 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782760 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782765 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782770 sending message 112 to peer 0x7fb50a531000 (8 bytes)
1650841366.782775 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.782780 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.782785 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.782789 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782794 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782799 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782804 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782809 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782813 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782818 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782823 sending message 112 to peer 0x7fb50a531000 (8 bytes)
1650841366.782828 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782833 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782838 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782842 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782847 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782852 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782857 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782862 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782866 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782871 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782876 sending message 112 to peer 0x7fb50a531000 (8 bytes)
1650841366.782881 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782886 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782891 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782895 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782900 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782905 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782910 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782915 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782919 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782924 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782929 sending message 112 to peer 0x7fb50a531000 (8 bytes)
1650841366.782934 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782939 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782944 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782948 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782953 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782958 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782963 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782980 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782985 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.782990 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.782995 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783000 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783004 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783009 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783014 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783019 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783024 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783028 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783033 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783038 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783043 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783048 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783053 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783058 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783062 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783067 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783072 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783077 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783085 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783090 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783095 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783100 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783105 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783110 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783114 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783119 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783124 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.783129 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783134 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783138 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783143 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783148 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783153 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.783159 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783165 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783169 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783174 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783179 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783184 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783189 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783193 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783198 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.783203 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783208 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783212 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783217 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783222 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783227 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783232 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.783236 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783241 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783246 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783251 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783255 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783272 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783277 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.783282 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783287 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783291 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783296 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783301 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783306 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783311 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.783316 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783321 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783326 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783331 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783335 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783340 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783345 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.783350 sending message 112 to peer 0x7fb50a531000 (6 bytes)
1650841366.783355 sending message 112 to peer 0x7fb50a531000 (13 bytes)
1650841366.783360 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783365 sending message 112 to peer 0x7fb50a531000 (15 bytes)
1650841366.783370 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.783375 sending message 112 to peer 0x7fb50a531000 (70 bytes)
1650841366.783379 sending message 112 to peer 0x7fb50a531000 (69 bytes)
1650841366.783384 sending message 112 to peer 0x7fb50a531000 (34 bytes)
1650841366.783389 sending message 112 to peer 0x7fb50a531000 (34 bytes)
1650841366.783394 sending message 112 to peer 0x7fb50a531000 (12 bytes)
1650841366.783399 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783403 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783408 sending message 112 to peer 0x7fb50a531000 (15 bytes)
1650841366.783413 sending message 112 to peer 0x7fb50a531000 (11 bytes)
1650841366.783418 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783422 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783427 sending message 112 to peer 0x7fb50a531000 (17 bytes)
1650841366.783432 sending message 112 to peer 0x7fb50a531000 (10 bytes)
1650841366.783437 sending message 112 to peer 0x7fb50a531000 (17 bytes)
1650841366.783442 sending message 112 to peer 0x7fb50a531000 (5 bytes)
1650841366.783447 sending message 112 to peer 0x7fb50a531000 (9 bytes)
1650841366.783451 sending message 112 to peer 0x7fb50a531000 (15 bytes)
1650841366.783469 sending message 104 to peer 0x7fb50a531000 (0 bytes)
1650841366.783475 sending message 110 to peer 0x7fb50a531000 (0 bytes)
1650841366.783480 sending message 107 to peer 0x7fb50a531000 (4 bytes)
1650841366.783485 sending message 105 to peer 0x7fb50a531000 (9 bytes)
1650841366.783489 sending message 105 to peer 0x7fb50a531000 (22 bytes)
1650841366.783505 sending message 105 to peer 0x7fb50a531000 (12 bytes)
1650841366.783510 sending message 105 to peer 0x7fb50a531000 (1165 bytes)
1650841366.783515 sending message 105 to peer 0x7fb50a531000 (73 bytes)
1650841366.783520 sending message 105 to peer 0x7fb50a531000 (66 bytes)
1650841366.783525 sending message 105 to peer 0x7fb50a531000 (15 bytes)
1650841366.783529 sending message 105 to peer 0x7fb50a531000 (16 bytes)
1650841366.783534 sending message 105 to peer 0x7fb50a531000 (38 bytes)
1650841366.783539 sending message 105 to peer 0x7fb50a531000 (57 bytes)
1650841366.783544 sending message 105 to peer 0x7fb50a531000 (19 bytes)
1650841366.783549 sending message 105 to peer 0x7fb50a531000 (14 bytes)
1650841366.783554 sending message 105 to peer 0x7fb50a531000 (17 bytes)
1650841366.783559 sending message 105 to peer 0x7fb50a531000 (18 bytes)
1650841366.783564 sending message 105 to peer 0x7fb50a531000 (14 bytes)
1650841366.783569 sending message 105 to peer 0x7fb50a531000 (17 bytes)
1650841366.783585 sending message 105 to peer 0x7fb50a531000 (20 bytes)
1650841366.783590 sending message 105 to peer 0x7fb50a531000 (16 bytes)
1650841366.783595 sending message 105 to peer 0x7fb50a531000 (28 bytes)
1650841366.783600 sending message 105 to peer 0x7fb50a531000 (67 bytes)
1650841366.783605 sending message 105 to peer 0x7fb50a531000 (8 bytes)
1650841366.783610 sending message 105 to peer 0x7fb50a531000 (38 bytes)
1650841366.783615 sending message 105 to peer 0x7fb50a531000 (11 bytes)
1650841366.783619 sending message 105 to peer 0x7fb50a531000 (8 bytes)
1650841366.783624 sending message 105 to peer 0x7fb50a531000 (32 bytes)
1650841366.783629 sending message 105 to peer 0x7fb50a531000 (24 bytes)
1650841366.783634 sending message 105 to peer 0x7fb50a531000 (16 bytes)
1650841366.783639 sending message 105 to peer 0x7fb50a531000 (51 bytes)
1650841366.783644 sending message 105 to peer 0x7fb50a531000 (60 bytes)
1650841366.783648 sending message 105 to peer 0x7fb50a531000 (22 bytes)
1650841366.783653 sending message 105 to peer 0x7fb50a531000 (25 bytes)
1650841366.783658 sending message 105 to peer 0x7fb50a531000 (33 bytes)
1650841366.783663 sending message 105 to peer 0x7fb50a531000 (20 bytes)
1650841366.783668 sending message 105 to peer 0x7fb50a531000 (17 bytes)
1650841366.783672 sending message 105 to peer 0x7fb50a531000 (22 bytes)
1650841366.783677 sending message 105 to peer 0x7fb50a531000 (20 bytes)
1650841366.783682 sending message 105 to peer 0x7fb50a531000 (28 bytes)
1650841366.783687 sending message 105 to peer 0x7fb50a531000 (41 bytes)
1650841366.783692 sending message 105 to peer 0x7fb50a531000 (80 bytes)
1650841366.783696 sending message 105 to peer 0x7fb50a531000 (47 bytes)
1650841366.783701 sending message 105 to peer 0x7fb50a531000 (47 bytes)
1650841366.783706 sending message 105 to peer 0x7fb50a531000 (24 bytes)
1650841366.783711 sending message 105 to peer 0x7fb50a531000 (20 bytes)
1650841366.783716 sending message 105 to peer 0x7fb50a531000 (14 bytes)
1650841366.783720 sending message 105 to peer 0x7fb50a531000 (15 bytes)
1650841366.783725 sending message 105 to peer 0x7fb50a531000 (27 bytes)
1650841366.783730 sending message 105 to peer 0x7fb50a531000 (18 bytes)
1650841366.783735 sending message 105 to peer 0x7fb50a531000 (14 bytes)
1650841366.783740 sending message 105 to peer 0x7fb50a531000 (18 bytes)
1650841366.783744 sending message 105 to peer 0x7fb50a531000 (20 bytes)
1650841366.783749 sending message 105 to peer 0x7fb50a531000 (23 bytes)
1650841366.783754 sending message 105 to peer 0x7fb50a531000 (11 bytes)
1650841366.783759 sending message 105 to peer 0x7fb50a531000 (16 bytes)
1650841366.783764 sending message 105 to peer 0x7fb50a531000 (15 bytes)
1650841366.783769 sending message 105 to peer 0x7fb50a531000 (15 bytes)
1650841366.783773 sending message 105 to peer 0x7fb50a531000 (15 bytes)
1650841366.783778 sending message 105 to peer 0x7fb50a531000 (23 bytes)
1650841366.783783 sending message 105 to peer 0x7fb50a531000 (15 bytes)
1650841366.783788 sending message 105 to peer 0x7fb50a531000 (17 bytes)
1650841366.783793 sending message 105 to peer 0x7fb50a531000 (9 bytes)
1650841366.783798 sending message 105 to peer 0x7fb50a531000 (17 bytes)
1650841366.783803 sending message 105 to peer 0x7fb50a531000 (14 bytes)
1650841366.783807 sending message 105 to peer 0x7fb50a531000 (10 bytes)
1650841366.783812 sending message 105 to peer 0x7fb50a531000 (22 bytes)
1650841366.783817 sending message 106 to peer 0x7fb50a531000 (0 bytes)
1650841366.783846 sending message 200 to peer 0x7fb50a531000 (4 bytes)
1650841366.783852 client loop enter
1650841366.786511 peer 0x7fb50a531000 message 207
1650841366.786539 sending message 208 to peer 0x7fb50a531000 (0 bytes)
1650841428.081574 peer 0x7fb50a531000 message 201
1650841428.081983 sending message 205 to peer 0x7fb50a531000 (0 bytes)
1650841428.082421 peer 0x7fb50a531000 message 204
1650841428.082441 client loop exit
